EndpointID,EmailAddress,Account Length,PlanOptionA,PlanOptionB,PlanOptionC,UsageWeekdays,UsageWeekends,SharedWithFriend,LastEmailDelivered,LastEmailEngaged,Churn?
95,churn95@example.com,281,1,1,0,84,75,0,1569596990,1569010722,0
96,churn96@example.com,87,1,0,0,31,56,1,1569330052,1553699390,0
97,churn97@example.com,90,1,1,1,47,12,0,1569596990,1568685070,0
98,churn98@example.com,56,1,1,0,56,91,0,1569596990,1553699390,0
99,churn99@example.com,75,0,1,1,49,97,0,1569596990,1553699390,0
100,churn100@example.com,39,1,1,1,21,74,0,1569014444,1569315355,0
101,churn101@example.com,67,1,1,1,78,35,0,1569596990,1553699390,0
102,churn102@example.com,228,1,1,0,60,36,0,1569596990,1553699390,0
103,churn103@example.com,282,1,1,0,82,14,0,1569596990,1553699390,0
104,churn104@example.com,219,1,1,1,86,98,0,1569596990,1568999429,0
105,churn105@example.com,128,1,1,0,98,24,1,1569596990,1569401460,0
106,churn106@example.com,94,0,1,1,1,27,0,1569596990,1553699390,0
107,churn107@example.com,266,0,0,0,25,88,0,1569596990,1569067016,0
108,churn108@example.com,285,1,1,1,67,48,0,1569596990,1569513626,0
109,churn109@example.com,87,1,0,1,26,36,0,1569596990,1553699390,0
110,churn110@example.com,212,0,1,1,13,65,0,1569596990,1569381983,0
111,churn111@example.com,196,0,1,0,86,29,0,1569596990,1569368635,0
112,churn112@example.com,298,0,0,1,89,8,0,1569596990,1568919323,0
113,churn113@example.com,93,1,1,1,2,39,0,1569596990,1568633379,0
114,churn114@example.com,214,1,1,0,28,2,0,1569596990,1553699390,1
115,churn115@example.com,168,0,1,1,36,15,0,1569596990,1553699390,0
116,churn116@example.com,162,0,0,0,4,83,1,1568948798,1553699390,0
117,churn117@example.com,273,0,1,0,5,49,0,1569596990,1569171603,0
118,churn118@example.com,266,0,0,0,42,17,0,1569596990,1553699390,0
119,churn119@example.com,61,1,1,0,69,57,1,1569073131,1553699390,0
120,churn120@example.com,156,1,1,1,44,4,0,1569596990,1553699390,0
121,churn121@example.com,119,0,1,0,92,57,0,1569596990,1553699390,0
122,churn122@example.com,239,0,1,1,47,88,0,1569290089,1553699390,0
123,churn123@example.com,50,0,1,1,80,89,0,1569596990,1553699390,0
124,churn124@example.com,37,1,0,1,11,21,0,1568690361,1553699390,0
125,churn125@example.com,285,0,1,0,53,19,0,1569124858,1553699390,0
126,churn126@example.com,92,0,1,1,44,56,0,1569151349,1553699390,0
127,churn127@example.com,207,0,1,0,66,2,0,1569596990,1553699390,0
128,churn128@example.com,86,0,1,0,5,14,0,1569596990,1569530279,0
129,churn129@example.com,186,1,0,0,19,56,0,1568986524,1553699390,0
130,churn130@example.com,111,0,0,1,15,57,0,1569068880,1553699390,0
131,churn131@example.com,62,1,1,0,71,56,1,1569596990,1569184297,0
132,churn132@example.com,111,0,1,0,100,23,0,1569596990,1553699390,0
133,churn133@example.com,234,0,0,0,79,10,0,1569596990,1553699390,0
134,churn134@example.com,213,0,0,1,43,10,0,1569596990,1569565619,0
135,churn135@example.com,106,0,1,1,84,80,0,1568820399,1568872666,0
136,churn136@example.com,226,1,1,1,30,19,0,1569596990,1553699390,0
137,churn137@example.com,264,1,0,1,48,61,0,1569596990,1553699390,0
138,churn138@example.com,282,1,0,0,7,41,0,1569596990,1569304021,0
139,churn139@example.com,230,0,0,1,40,28,0,1569596990,1569125577,0
140,churn140@example.com,279,0,1,1,23,70,0,1569596990,1568818962,0
141,churn141@example.com,207,0,0,0,9,4,0,1569596990,1569509903,0
142,churn142@example.com,31,0,1,1,70,50,0,1569596990,1568997570,0
143,churn143@example.com,292,0,1,0,36,56,0,1569596990,1553699390,0
144,churn144@example.com,247,0,1,1,13,31,1,1569596990,1553699390,0
145,churn145@example.com,160,0,1,0,50,56,0,1569596990,1553699390,0
146,churn146@example.com,251,1,1,1,37,63,0,1569206473,1553699390,0
147,churn147@example.com,68,1,0,1,45,31,0,1569596990,1568683474,0
148,churn148@example.com,44,1,0,0,52,53,0,1569021277,1553699390,0
149,churn149@example.com,170,0,0,1,62,41,0,1569596990,1569233403,0
150,churn150@example.com,141,0,1,1,99,29,0,1569596990,1568808232,0
151,churn151@example.com,118,0,1,1,31,24,0,1569596990,1553699390,0
152,churn152@example.com,35,1,1,1,96,98,0,1569596990,1553699390,0
153,churn153@example.com,150,1,1,0,98,75,0,1569596990,1553699390,0
154,churn154@example.com,237,0,1,0,50,12,0,1569596990,1568997740,0
155,churn155@example.com,248,0,0,0,13,20,0,1569001658,1553699390,0
156,churn156@example.com,217,1,0,0,19,17,0,1569148297,1553699390,0
157,churn157@example.com,225,1,1,0,1,52,1,1569596990,1568952200,0
158,churn158@example.com,209,1,1,0,50,81,1,1569150569,1569057614,0
159,churn159@example.com,227,0,0,0,6,94,0,1569596990,1553699390,0
160,churn160@example.com,211,1,0,1,41,31,1,1569596990,1553699390,0
161,churn161@example.com,67,0,1,0,56,20,0,1569596990,1553699390,0
162,churn162@example.com,244,1,1,1,19,23,0,1569596990,1568962622,0
163,churn163@example.com,297,1,0,0,38,27,0,1568979442,1553699390,0
164,churn164@example.com,96,1,0,0,75,8,0,1569596990,1568923516,0
165,churn165@example.com,34,0,1,0,39,25,0,1569596990,1553699390,0
166,churn166@example.com,111,1,0,0,94,29,0,1569596990,1569460239,0
167,churn167@example.com,140,1,0,0,45,79,0,1569596990,1553699390,0
168,churn168@example.com,202,1,0,1,95,59,0,1568818309,1553699390,0
169,churn169@example.com,62,1,0,0,64,34,0,1569596990,1569172091,0
170,churn170@example.com,258,1,1,1,39,100,1,1569596990,1553699390,0
171,churn171@example.com,278,1,1,1,93,27,0,1569596990,1568605029,0
172,churn172@example.com,56,0,0,0,7,66,1,1569596990,1553699390,0
173,churn173@example.com,60,0,1,0,62,25,0,1569596990,1553699390,0
174,churn174@example.com,240,1,1,0,65,98,0,1569596990,1553699390,0
175,churn175@example.com,295,1,1,1,0,74,0,1568761152,1553699390,0
176,churn176@example.com,295,0,1,1,64,88,0,1569596990,1569327541,0
177,churn177@example.com,296,1,1,0,6,88,0,1569585122,1553699390,0
178,churn178@example.com,182,0,0,1,68,28,0,1568916656,1569256809,0
179,churn179@example.com,203,0,1,1,56,80,0,1569596990,1553699390,0
180,churn180@example.com,192,0,1,0,10,48,0,1569596990,1553699390,0
181,churn181@example.com,147,1,1,0,22,0,0,1569596990,1553699390,1
182,churn182@example.com,42,1,1,1,69,5,0,1569596990,1553699390,0
183,churn183@example.com,238,0,0,1,42,27,0,1569596990,1553699390,0
184,churn184@example.com,105,0,1,0,22,37,0,1569596990,1553699390,0
185,churn185@example.com,167,0,0,0,3,22,0,1568733591,1553699390,0
186,churn186@example.com,162,0,1,1,70,14,0,1569596990,1553699390,0
187,churn187@example.com,149,1,1,0,37,0,0,1569596990,1569009454,0
188,churn188@example.com,143,1,0,1,79,64,0,1569596990,1553699390,0
189,churn189@example.com,218,1,0,1,59,27,0,1569596990,1553699390,0
190,churn190@example.com,48,1,0,1,82,8,0,1569596990,1568943577,0
191,churn191@example.com,92,1,0,1,85,14,0,1569596990,1553699390,0
192,churn192@example.com,174,1,1,1,13,83,0,1568728985,1553699390,0
193,churn193@example.com,227,0,0,0,17,60,0,1568738095,1569271025,0
194,churn194@example.com,98,1,1,1,78,18,0,1569596990,1553699390,0
195,churn195@example.com,260,1,1,1,36,45,0,1569596990,1569522694,0
196,churn196@example.com,130,0,1,0,46,21,0,1569596990,1553699390,0
197,churn197@example.com,103,0,1,1,26,89,0,1569596990,1553699390,0
198,churn198@example.com,98,0,0,0,95,100,0,1569596990,1553699390,0
199,churn199@example.com,31,0,1,0,74,8,1,1569596990,1553699390,0
200,churn200@example.com,153,1,0,0,58,68,0,1569596990,1553699390,0
201,churn201@example.com,184,1,0,1,79,83,0,1569471781,1553699390,0
202,churn202@example.com,91,0,1,1,52,48,0,1569596990,1553699390,0
203,churn203@example.com,52,0,0,0,45,45,0,1569596990,1553699390,0
204,churn204@example.com,75,0,0,1,32,48,0,1569596990,1553699390,0
205,churn205@example.com,110,0,1,0,8,100,0,1569596990,1568674573,0
206,churn206@example.com,138,0,1,0,96,62,0,1569596990,1553699390,0
207,churn207@example.com,178,0,0,1,14,41,0,1569596990,1553699390,0
208,churn208@example.com,276,1,1,1,12,64,0,1569596990,1569285115,0
209,churn209@example.com,86,0,1,0,93,65,0,1569596990,1568908322,0
210,churn210@example.com,169,0,1,0,71,62,1,1569596990,1553699390,0
211,churn211@example.com,269,1,0,1,24,56,0,1569596990,1553699390,0
212,churn212@example.com,256,0,1,1,18,36,0,1569596990,1553699390,0
213,churn213@example.com,213,0,0,1,56,8,0,1569596990,1553699390,0
214,churn214@example.com,88,0,1,0,92,32,0,1569596990,1553699390,0
215,churn215@example.com,293,0,1,1,49,91,0,1569550398,1569253967,0
216,churn216@example.com,43,0,1,0,32,23,0,1569596990,1553699390,0
217,churn217@example.com,222,1,0,1,10,9,0,1569596990,1569566098,0
218,churn218@example.com,277,0,0,1,45,63,0,1569596990,1553699390,0
219,churn219@example.com,136,0,1,1,31,95,0,1569596990,1553699390,0
220,churn220@example.com,270,1,0,0,53,17,1,1569596990,1569000032,0
221,churn221@example.com,97,1,1,1,87,52,0,1569596990,1568598052,0
222,churn222@example.com,38,0,0,0,6,40,0,1568993234,1568783073,0
223,churn223@example.com,101,1,1,1,65,13,0,1569365954,1553699390,0
224,churn224@example.com,49,0,0,1,49,51,1,1569053674,1568956317,0
225,churn225@example.com,257,0,0,0,52,49,0,1569596990,1553699390,0
226,churn226@example.com,96,1,0,0,79,48,0,1569596990,1553699390,0
227,churn227@example.com,90,1,1,1,41,22,0,1569581493,1553699390,0
228,churn228@example.com,297,0,1,1,42,48,0,1569596990,1568619133,0
229,churn229@example.com,158,0,0,0,31,12,0,1568616872,1553699390,0
230,churn230@example.com,117,1,1,1,34,3,0,1569596990,1569474143,0
231,churn231@example.com,80,0,1,1,38,75,0,1569596990,1553699390,0
232,churn232@example.com,47,0,1,1,19,56,0,1569012428,1568866258,0
233,churn233@example.com,31,0,0,1,2,78,0,1569506545,1553699390,0
234,churn234@example.com,121,1,1,0,16,4,0,1569577141,1569036475,0
235,churn235@example.com,232,1,1,0,28,68,1,1569596990,1569084585,0
236,churn236@example.com,116,1,1,0,66,56,0,1569337964,1553699390,0
237,churn237@example.com,242,1,0,0,4,43,0,1569304714,1553699390,0
238,churn238@example.com,154,1,0,1,35,91,0,1569596990,1553699390,0
239,churn239@example.com,110,1,0,0,85,81,0,1569596990,1553699390,0
240,churn240@example.com,86,1,1,0,45,22,0,1569596990,1553699390,0
241,churn241@example.com,249,1,1,1,3,5,0,1569596990,1553699390,1
242,churn242@example.com,68,1,0,1,81,59,0,1569596990,1569446185,0
243,churn243@example.com,108,1,1,0,90,83,0,1569596990,1569137830,0
244,churn244@example.com,53,0,0,0,60,80,0,1569130315,1553699390,0
245,churn245@example.com,81,0,1,1,2,41,0,1569596990,1568773915,0
246,churn246@example.com,254,0,0,1,53,69,0,1569596990,1553699390,0
247,churn247@example.com,212,1,1,1,66,69,0,1569596990,1553699390,0
248,churn248@example.com,103,1,1,1,11,71,0,1568990300,1553699390,0
249,churn249@example.com,108,0,0,1,4,91,0,1569596990,1569343296,0
250,churn250@example.com,118,1,1,0,8,22,0,1569596990,1568878857,0
251,churn251@example.com,53,1,1,0,81,76,0,1569334433,1553699390,0
252,churn252@example.com,249,1,1,0,97,22,1,1569596990,1569119460,0
253,churn253@example.com,184,0,0,1,80,47,0,1569323610,1553699390,0
254,churn254@example.com,102,0,0,0,13,30,0,1569596990,1553699390,0
255,churn255@example.com,54,0,1,1,80,18,0,1569269520,1568814453,0
256,churn256@example.com,57,0,1,1,25,89,1,1569596990,1553699390,0
257,churn257@example.com,230,1,1,1,75,11,0,1569242547,1553699390,0
258,churn258@example.com,231,1,1,0,50,25,0,1569071660,1569147901,0
259,churn259@example.com,73,0,1,1,61,90,0,1569596990,1553699390,0
260,churn260@example.com,58,0,0,1,48,36,0,1569596990,1553699390,0
261,churn261@example.com,82,1,0,1,2,85,0,1569596990,1553699390,0
262,churn262@example.com,101,1,0,1,22,8,0,1569596990,1569597561,0
263,churn263@example.com,213,1,0,0,69,55,0,1569596990,1553699390,0
264,churn264@example.com,48,0,1,1,40,59,0,1569596990,1553699390,0
265,churn265@example.com,129,0,0,0,22,36,0,1569386887,1569562058,0
266,churn266@example.com,237,1,1,0,35,82,0,1569596990,1569045378,0
267,churn267@example.com,65,0,0,1,77,64,0,1569596990,1553699390,0
268,churn268@example.com,229,0,1,0,70,86,1,1569440660,1569256242,0
269,churn269@example.com,219,1,1,1,24,31,0,1569479618,1553699390,0
270,churn270@example.com,239,1,0,0,24,22,0,1568758242,1553699390,0
271,churn271@example.com,285,1,1,0,95,53,0,1569596990,1553699390,0
272,churn272@example.com,169,0,1,1,66,8,0,1569470686,1569516581,0
273,churn273@example.com,235,1,1,0,4,12,0,1569596990,1553699390,1
274,churn274@example.com,297,1,0,1,73,97,0,1569426938,1569384234,0
275,churn275@example.com,228,1,1,0,3,4,0,1569596990,1553699390,1
276,churn276@example.com,162,0,0,0,54,16,0,1569435952,1553699390,0
277,churn277@example.com,206,1,1,0,17,34,0,1569596990,1553699390,0
278,churn278@example.com,93,1,0,0,65,49,0,1569596990,1553699390,0
279,churn279@example.com,36,0,0,1,46,83,0,1569596990,1568656525,0
280,churn280@example.com,53,1,0,1,28,45,0,1569596990,1553699390,0
281,churn281@example.com,82,1,1,0,71,31,0,1569596990,1553699390,0
282,churn282@example.com,207,0,1,1,83,37,0,1569596990,1553699390,0
283,churn283@example.com,233,1,0,1,11,60,0,1569596990,1553699390,0
284,churn284@example.com,65,0,0,1,23,82,0,1569596990,1569527580,0
285,churn285@example.com,166,0,0,0,92,3,0,1569596990,1569035711,0
286,churn286@example.com,263,1,1,0,21,45,0,1569596990,1553699390,0
287,churn287@example.com,192,1,1,0,85,26,1,1569596990,1553699390,0
288,churn288@example.com,299,1,1,1,83,20,0,1568657273,1553699390,0
289,churn289@example.com,73,0,0,1,100,13,0,1569596990,1569587228,0
290,churn290@example.com,139,0,1,0,57,73,1,1569596990,1553699390,0
291,churn291@example.com,37,1,0,0,78,12,0,1569596990,1553699390,0
292,churn292@example.com,207,0,0,1,4,75,0,1569596990,1553699390,0
293,churn293@example.com,44,0,1,0,82,41,0,1569577430,1569046113,0
294,churn294@example.com,298,1,0,1,45,64,0,1569596990,1553699390,0
295,churn295@example.com,276,0,0,1,70,68,1,1569387068,1553699390,0
296,churn296@example.com,35,1,0,1,84,13,0,1569049313,1553699390,0
297,churn297@example.com,209,0,0,1,43,5,1,1569596990,1553699390,0
298,churn298@example.com,183,0,0,0,13,25,1,1569596990,1568971312,0
299,churn299@example.com,61,0,1,0,31,57,0,1569596990,1553699390,0
300,churn300@example.com,173,1,0,1,9,29,0,1569596990,1553699390,0
301,churn301@example.com,94,0,0,0,22,83,0,1569596990,1553699390,0
302,churn302@example.com,194,1,1,0,28,1,0,1569596990,1553699390,1
303,churn303@example.com,257,0,1,0,43,54,0,1569596990,1553699390,0
304,churn304@example.com,205,0,0,0,90,98,1,1569596990,1568842774,0
305,churn305@example.com,130,1,0,0,45,94,0,1569219020,1553699390,0
306,churn306@example.com,191,0,0,0,10,64,0,1569234141,1553699390,0
307,churn307@example.com,186,1,1,0,35,94,0,1569596990,1568940776,0
308,churn308@example.com,137,0,1,0,46,65,0,1569596990,1553699390,0
309,churn309@example.com,120,0,0,0,44,41,0,1569596990,1553699390,0
310,churn310@example.com,298,1,0,1,27,22,0,1568970419,1569207005,0
311,churn311@example.com,60,1,0,0,2,93,0,1569596990,1553699390,0
312,churn312@example.com,247,1,0,1,81,94,0,1568631648,1568678796,0
313,churn313@example.com,128,1,0,0,49,50,0,1569596990,1553699390,0
314,churn314@example.com,212,1,1,0,98,17,1,1569596990,1553699390,0
315,churn315@example.com,54,1,1,1,39,42,0,1569596990,1568922761,0
316,churn316@example.com,247,0,0,0,24,14,0,1569596990,1553699390,0
317,churn317@example.com,174,1,1,0,38,31,0,1569596990,1553699390,0
318,churn318@example.com,165,0,1,0,76,18,1,1569596990,1569190546,0
319,churn319@example.com,199,0,1,0,50,28,0,1569596990,1569000972,0
320,churn320@example.com,100,0,0,1,45,6,0,1569596990,1568759568,0
321,churn321@example.com,86,0,1,1,69,28,1,1569596990,1553699390,0
322,churn322@example.com,269,0,0,0,41,5,0,1569596990,1553699390,0
323,churn323@example.com,194,0,1,1,65,55,0,1568635410,1553699390,0
324,churn324@example.com,229,1,1,1,78,20,0,1569596990,1568689327,0
325,churn325@example.com,38,0,0,1,30,81,0,1568781107,1569060737,0
326,churn326@example.com,202,1,1,0,35,57,0,1569596990,1569081033,0
327,churn327@example.com,49,1,0,1,20,22,0,1569596990,1569380769,0
328,churn328@example.com,221,0,0,1,23,28,0,1569596990,1553699390,0
329,churn329@example.com,162,0,0,0,82,26,0,1569596990,1569370611,0
330,churn330@example.com,117,0,0,1,4,70,0,1569596990,1568992890,0
331,churn331@example.com,201,1,0,0,84,13,0,1569532239,1553699390,0
332,churn332@example.com,71,0,0,0,6,83,1,1569596990,1553699390,0
333,churn333@example.com,69,1,1,0,97,57,0,1569596990,1569539847,0
334,churn334@example.com,251,1,1,0,84,38,1,1569596990,1569194668,0
335,churn335@example.com,74,1,1,1,100,40,0,1569596990,1568759752,0
336,churn336@example.com,186,1,0,0,10,83,0,1569596990,1553699390,0
337,churn337@example.com,208,1,1,0,84,89,1,1569596990,1569496305,0
338,churn338@example.com,31,0,1,0,95,39,0,1569596990,1569178480,0
339,churn339@example.com,198,0,1,1,14,65,0,1569596990,1569116098,0
340,churn340@example.com,216,1,0,0,35,88,0,1569596990,1553699390,0
341,churn341@example.com,254,0,1,1,3,35,0,1569596990,1553699390,0
342,churn342@example.com,48,0,0,1,54,89,0,1569596990,1569039350,0
343,churn343@example.com,58,1,0,0,75,29,0,1568737924,1569498934,0
344,churn344@example.com,274,1,0,0,58,37,0,1569596990,1553699390,0
345,churn345@example.com,171,0,1,0,15,2,0,1568849697,1553699390,0
346,churn346@example.com,129,0,0,1,85,30,0,1569596990,1553699390,0
347,churn347@example.com,216,1,0,1,79,67,0,1569596990,1569256328,0
348,churn348@example.com,251,0,1,1,46,100,1,1569333832,1553699390,0
349,churn349@example.com,90,1,1,1,10,25,0,1568816961,1553699390,0
350,churn350@example.com,110,0,0,1,17,72,0,1569596990,1569493032,0
351,churn351@example.com,73,0,0,1,12,46,1,1569596990,1569093590,0
352,churn352@example.com,262,0,0,0,54,19,0,1568813858,1568944084,0
353,churn353@example.com,30,1,1,1,83,82,0,1569596990,1553699390,0
354,churn354@example.com,103,0,0,1,67,82,0,1569596990,1553699390,0
355,churn355@example.com,83,0,1,0,97,6,0,1569596990,1553699390,0
356,churn356@example.com,207,1,1,1,69,44,0,1569578013,1568874081,0
357,churn357@example.com,278,1,0,1,49,87,0,1569596990,1553699390,0
358,churn358@example.com,119,0,1,1,72,39,0,1569059414,1553699390,0
359,churn359@example.com,208,0,0,1,27,96,0,1569596990,1553699390,0
360,churn360@example.com,45,0,1,0,20,89,0,1569596990,1569326469,0
361,churn361@example.com,135,0,0,1,80,6,0,1569596990,1568931522,0
362,churn362@example.com,66,0,1,0,20,31,1,1568776776,1568629859,0
363,churn363@example.com,221,0,0,1,61,88,0,1569596990,1553699390,0
364,churn364@example.com,58,1,1,0,100,31,0,1569596990,1569305382,0
365,churn365@example.com,235,1,0,1,90,64,0,1569596990,1569164010,0
366,churn366@example.com,166,0,1,1,74,25,0,1569086637,1553699390,0
367,churn367@example.com,279,1,1,0,76,91,0,1569566482,1569150285,0
368,churn368@example.com,144,1,1,1,38,76,1,1569270379,1553699390,0
369,churn369@example.com,140,1,1,1,51,45,1,1569596990,1553699390,0
370,churn370@example.com,249,1,0,0,7,8,0,1569596990,1569108015,0
371,churn371@example.com,251,1,1,0,35,76,0,1569596990,1568884733,0
372,churn372@example.com,261,0,0,1,13,53,0,1568777217,1553699390,0
373,churn373@example.com,100,0,1,1,55,80,0,1569596990,1553699390,0
374,churn374@example.com,169,0,1,0,31,67,1,1569596990,1553699390,0
375,churn375@example.com,45,1,0,1,35,59,0,1569596990,1568624856,0
376,churn376@example.com,117,1,1,0,100,63,0,1569596990,1553699390,0
377,churn377@example.com,124,0,0,0,47,59,0,1569114100,1553699390,0
378,churn378@example.com,296,0,0,0,90,51,0,1569348566,1553699390,0
379,churn379@example.com,292,1,1,1,76,24,0,1569367282,1568921116,0
380,churn380@example.com,297,1,1,0,51,25,0,1569596990,1569500552,0
381,churn381@example.com,75,0,0,0,94,48,0,1569596990,1569397347,0
382,churn382@example.com,63,1,1,1,19,32,0,1569041689,1553699390,0
383,churn383@example.com,84,0,1,0,92,51,0,1569596990,1569549201,0
