ChannelType,Id,Address,Attributes.AccountLength,Attributes.PlanOptionA,Attributes.PlanOptionB,Attributes.PlanOptionC,Attributes.UsageWeekdays,Attributes.UsageWeekends,Attributes.SharedWithFriend,Attributes.Churn
EMAIL,37,churn37@example.com,127,1,1,1,71,79,0,0
EMAIL,38,churn38@example.com,190,1,1,0,57,73,0,0
EMAIL,39,churn39@example.com,220,0,1,0,59,3,0,0
EMAIL,40,churn40@example.com,174,1,1,1,33,97,1,0
EMAIL,41,churn41@example.com,145,1,1,1,79,23,0,0
EMAIL,42,churn42@example.com,217,1,1,0,44,63,0,0
EMAIL,43,churn43@example.com,268,1,0,0,74,41,0,0
EMAIL,44,churn44@example.com,196,1,0,0,45,40,1,0
EMAIL,45,churn45@example.com,99,1,0,1,56,80,0,0
EMAIL,46,churn46@example.com,85,0,0,1,63,2,0,0
EMAIL,47,churn47@example.com,230,1,0,0,44,30,0,0
EMAIL,48,churn48@example.com,56,0,0,0,28,53,0,0
EMAIL,49,churn49@example.com,85,1,1,0,81,73,0,0
EMAIL,50,churn50@example.com,186,0,0,1,12,24,0,0
EMAIL,51,churn51@example.com,266,1,0,1,2,84,0,0
EMAIL,52,churn52@example.com,69,0,1,1,42,29,0,0
EMAIL,53,churn53@example.com,132,0,1,0,42,56,0,0
EMAIL,54,churn54@example.com,166,0,0,1,84,54,0,0
EMAIL,55,churn55@example.com,257,1,0,0,6,61,0,0
EMAIL,56,churn56@example.com,234,0,0,0,0,57,0,0
EMAIL,57,churn57@example.com,218,1,1,1,92,38,0,0
EMAIL,58,churn58@example.com,272,0,0,0,62,94,0,0
EMAIL,59,churn59@example.com,150,1,1,1,58,87,0,0
EMAIL,60,churn60@example.com,180,1,1,0,79,99,0,0
EMAIL,61,churn61@example.com,52,0,1,0,12,48,0,0
EMAIL,62,churn62@example.com,199,1,1,0,72,12,1,0
EMAIL,63,churn63@example.com,132,1,0,0,60,2,0,0
EMAIL,64,churn64@example.com,79,0,0,1,59,23,0,0
EMAIL,65,churn65@example.com,34,0,0,0,73,21,0,0
EMAIL,66,churn66@example.com,162,1,0,0,12,8,0,0
EMAIL,67,churn67@example.com,245,1,1,1,59,50,0,0
EMAIL,68,churn68@example.com,272,1,1,1,90,50,0,0
EMAIL,69,churn69@example.com,254,1,0,1,86,73,0,0
EMAIL,70,churn70@example.com,293,1,1,0,53,7,0,0
EMAIL,71,churn71@example.com,157,1,1,1,47,37,1,0
EMAIL,72,churn72@example.com,249,0,0,0,14,9,0,0
EMAIL,73,churn73@example.com,145,0,1,0,73,27,0,0
EMAIL,74,churn74@example.com,216,1,1,0,70,76,0,0
EMAIL,75,churn75@example.com,242,1,0,0,16,33,0,0
EMAIL,76,churn76@example.com,215,1,1,1,89,87,0,0
EMAIL,77,churn77@example.com,40,0,1,0,49,76,0,0
EMAIL,78,churn78@example.com,243,1,1,1,67,56,0,0
EMAIL,79,churn79@example.com,139,0,0,0,92,28,0,0
EMAIL,80,churn80@example.com,262,0,0,0,81,67,0,0
EMAIL,81,churn81@example.com,164,1,1,1,42,9,0,0
EMAIL,82,churn82@example.com,222,0,1,0,67,99,0,0
EMAIL,83,churn83@example.com,237,1,1,0,87,78,0,0
EMAIL,84,churn84@example.com,179,1,1,1,86,14,0,0
EMAIL,85,churn85@example.com,197,0,0,0,94,29,0,0
EMAIL,86,churn86@example.com,134,1,0,0,53,29,0,0
EMAIL,87,churn87@example.com,264,1,1,1,99,61,0,0
EMAIL,88,churn88@example.com,237,0,0,1,10,30,1,0
EMAIL,89,churn89@example.com,177,0,0,0,57,80,0,0
EMAIL,90,churn90@example.com,280,1,0,0,80,59,1,0
EMAIL,91,churn91@example.com,172,0,1,0,17,1,0,0
EMAIL,92,churn92@example.com,245,0,0,1,44,87,0,0
EMAIL,93,churn93@example.com,110,1,0,1,12,61,0,0
EMAIL,94,churn94@example.com,271,1,0,1,17,52,0,0
EMAIL,95,churn95@example.com,281,1,1,0,84,75,0,0
EMAIL,96,churn96@example.com,87,1,0,0,31,56,1,0
EMAIL,97,churn97@example.com,90,1,1,1,47,12,0,0
EMAIL,98,churn98@example.com,56,1,1,0,56,91,0,0
EMAIL,99,churn99@example.com,75,0,1,1,49,97,0,0
EMAIL,100,churn100@example.com,39,1,1,1,21,74,0,0
EMAIL,101,churn101@example.com,67,1,1,1,78,35,0,0
EMAIL,102,churn102@example.com,228,1,1,0,60,36,0,0
EMAIL,103,churn103@example.com,282,1,1,0,82,14,0,0
EMAIL,104,churn104@example.com,219,1,1,1,86,98,0,0
EMAIL,105,churn105@example.com,128,1,1,0,98,24,1,0
EMAIL,106,churn106@example.com,94,0,1,1,1,27,0,0
EMAIL,107,churn107@example.com,266,0,0,0,25,88,0,0
EMAIL,108,churn108@example.com,285,1,1,1,67,48,0,0
EMAIL,109,churn109@example.com,87,1,0,1,26,36,0,0
EMAIL,110,churn110@example.com,212,0,1,1,13,65,0,0
EMAIL,111,churn111@example.com,196,0,1,0,86,29,0,0
EMAIL,112,churn112@example.com,298,0,0,1,89,8,0,0
EMAIL,113,churn113@example.com,93,1,1,1,2,39,0,0
EMAIL,114,churn114@example.com,214,1,1,0,28,2,0,1
EMAIL,115,churn115@example.com,168,0,1,1,36,15,0,0
EMAIL,116,churn116@example.com,162,0,0,0,4,83,1,0
EMAIL,117,churn117@example.com,273,0,1,0,5,49,0,0
EMAIL,118,churn118@example.com,266,0,0,0,42,17,0,0
EMAIL,119,churn119@example.com,61,1,1,0,69,57,1,0
EMAIL,120,churn120@example.com,156,1,1,1,44,4,0,0
EMAIL,121,churn121@example.com,119,0,1,0,92,57,0,0
EMAIL,122,churn122@example.com,239,0,1,1,47,88,0,0
EMAIL,123,churn123@example.com,50,0,1,1,80,89,0,0
EMAIL,124,churn124@example.com,37,1,0,1,11,21,0,0
EMAIL,125,churn125@example.com,285,0,1,0,53,19,0,0
EMAIL,126,churn126@example.com,92,0,1,1,44,56,0,0
EMAIL,127,churn127@example.com,207,0,1,0,66,2,0,0
EMAIL,128,churn128@example.com,86,0,1,0,5,14,0,0
EMAIL,129,churn129@example.com,186,1,0,0,19,56,0,0
EMAIL,130,churn130@example.com,111,0,0,1,15,57,0,0
EMAIL,131,churn131@example.com,62,1,1,0,71,56,1,0
EMAIL,132,churn132@example.com,111,0,1,0,100,23,0,0
EMAIL,133,churn133@example.com,234,0,0,0,79,10,0,0
EMAIL,134,churn134@example.com,213,0,0,1,43,10,0,0
EMAIL,135,churn135@example.com,106,0,1,1,84,80,0,0
EMAIL,136,churn136@example.com,226,1,1,1,30,19,0,0
EMAIL,137,churn137@example.com,264,1,0,1,48,61,0,0
EMAIL,138,churn138@example.com,282,1,0,0,7,41,0,0
EMAIL,139,churn139@example.com,230,0,0,1,40,28,0,0
EMAIL,140,churn140@example.com,279,0,1,1,23,70,0,0
EMAIL,141,churn141@example.com,207,0,0,0,9,4,0,0
EMAIL,142,churn142@example.com,31,0,1,1,70,50,0,0
EMAIL,143,churn143@example.com,292,0,1,0,36,56,0,0
EMAIL,144,churn144@example.com,247,0,1,1,13,31,1,0
EMAIL,145,churn145@example.com,160,0,1,0,50,56,0,0
EMAIL,146,churn146@example.com,251,1,1,1,37,63,0,0
EMAIL,147,churn147@example.com,68,1,0,1,45,31,0,0
EMAIL,148,churn148@example.com,44,1,0,0,52,53,0,0
EMAIL,149,churn149@example.com,170,0,0,1,62,41,0,0
EMAIL,150,churn150@example.com,141,0,1,1,99,29,0,0
EMAIL,151,churn151@example.com,118,0,1,1,31,24,0,0
EMAIL,152,churn152@example.com,35,1,1,1,96,98,0,0
EMAIL,153,churn153@example.com,150,1,1,0,98,75,0,0
EMAIL,154,churn154@example.com,237,0,1,0,50,12,0,0
EMAIL,155,churn155@example.com,248,0,0,0,13,20,0,0
EMAIL,156,churn156@example.com,217,1,0,0,19,17,0,0
EMAIL,157,churn157@example.com,225,1,1,0,1,52,1,0
EMAIL,158,churn158@example.com,209,1,1,0,50,81,1,0
EMAIL,159,churn159@example.com,227,0,0,0,6,94,0,0
EMAIL,160,churn160@example.com,211,1,0,1,41,31,1,0
EMAIL,161,churn161@example.com,67,0,1,0,56,20,0,0
EMAIL,162,churn162@example.com,244,1,1,1,19,23,0,0
EMAIL,163,churn163@example.com,297,1,0,0,38,27,0,0
EMAIL,164,churn164@example.com,96,1,0,0,75,8,0,0
EMAIL,165,churn165@example.com,34,0,1,0,39,25,0,0
EMAIL,166,churn166@example.com,111,1,0,0,94,29,0,0
EMAIL,167,churn167@example.com,140,1,0,0,45,79,0,0
EMAIL,168,churn168@example.com,202,1,0,1,95,59,0,0
EMAIL,169,churn169@example.com,62,1,0,0,64,34,0,0
EMAIL,170,churn170@example.com,258,1,1,1,39,100,1,0
EMAIL,171,churn171@example.com,278,1,1,1,93,27,0,0
EMAIL,172,churn172@example.com,56,0,0,0,7,66,1,0
EMAIL,173,churn173@example.com,60,0,1,0,62,25,0,0
EMAIL,174,churn174@example.com,240,1,1,0,65,98,0,0
EMAIL,175,churn175@example.com,295,1,1,1,0,74,0,0
EMAIL,176,churn176@example.com,295,0,1,1,64,88,0,0
EMAIL,177,churn177@example.com,296,1,1,0,6,88,0,0
EMAIL,178,churn178@example.com,182,0,0,1,68,28,0,0
EMAIL,179,churn179@example.com,203,0,1,1,56,80,0,0
EMAIL,180,churn180@example.com,192,0,1,0,10,48,0,0
EMAIL,181,churn181@example.com,147,1,1,0,22,0,0,1
EMAIL,182,churn182@example.com,42,1,1,1,69,5,0,0
EMAIL,183,churn183@example.com,238,0,0,1,42,27,0,0
EMAIL,184,churn184@example.com,105,0,1,0,22,37,0,0
EMAIL,185,churn185@example.com,167,0,0,0,3,22,0,0
EMAIL,186,churn186@example.com,162,0,1,1,70,14,0,0
EMAIL,187,churn187@example.com,149,1,1,0,37,0,0,0
EMAIL,188,churn188@example.com,143,1,0,1,79,64,0,0
EMAIL,189,churn189@example.com,218,1,0,1,59,27,0,0
EMAIL,190,churn190@example.com,48,1,0,1,82,8,0,0
EMAIL,191,churn191@example.com,92,1,0,1,85,14,0,0
EMAIL,192,churn192@example.com,174,1,1,1,13,83,0,0
EMAIL,193,churn193@example.com,227,0,0,0,17,60,0,0
EMAIL,194,churn194@example.com,98,1,1,1,78,18,0,0
EMAIL,195,churn195@example.com,260,1,1,1,36,45,0,0
EMAIL,196,churn196@example.com,130,0,1,0,46,21,0,0
EMAIL,197,churn197@example.com,103,0,1,1,26,89,0,0
EMAIL,198,churn198@example.com,98,0,0,0,95,100,0,0
EMAIL,199,churn199@example.com,31,0,1,0,74,8,1,0
EMAIL,200,churn200@example.com,153,1,0,0,58,68,0,0
EMAIL,201,churn201@example.com,184,1,0,1,79,83,0,0
EMAIL,202,churn202@example.com,91,0,1,1,52,48,0,0
EMAIL,203,churn203@example.com,52,0,0,0,45,45,0,0
EMAIL,204,churn204@example.com,75,0,0,1,32,48,0,0
EMAIL,205,churn205@example.com,110,0,1,0,8,100,0,0
EMAIL,206,churn206@example.com,138,0,1,0,96,62,0,0
EMAIL,207,churn207@example.com,178,0,0,1,14,41,0,0
EMAIL,208,churn208@example.com,276,1,1,1,12,64,0,0
EMAIL,209,churn209@example.com,86,0,1,0,93,65,0,0
EMAIL,210,churn210@example.com,169,0,1,0,71,62,1,0
EMAIL,211,churn211@example.com,269,1,0,1,24,56,0,0
EMAIL,212,churn212@example.com,256,0,1,1,18,36,0,0
EMAIL,213,churn213@example.com,213,0,0,1,56,8,0,0
EMAIL,214,churn214@example.com,88,0,1,0,92,32,0,0
EMAIL,215,churn215@example.com,293,0,1,1,49,91,0,0
EMAIL,216,churn216@example.com,43,0,1,0,32,23,0,0
EMAIL,217,churn217@example.com,222,1,0,1,10,9,0,0
EMAIL,218,churn218@example.com,277,0,0,1,45,63,0,0
EMAIL,219,churn219@example.com,136,0,1,1,31,95,0,0
EMAIL,220,churn220@example.com,270,1,0,0,53,17,1,0
EMAIL,221,churn221@example.com,97,1,1,1,87,52,0,0
EMAIL,222,churn222@example.com,38,0,0,0,6,40,0,0
EMAIL,223,churn223@example.com,101,1,1,1,65,13,0,0
EMAIL,224,churn224@example.com,49,0,0,1,49,51,1,0
EMAIL,225,churn225@example.com,257,0,0,0,52,49,0,0
EMAIL,226,churn226@example.com,96,1,0,0,79,48,0,0
EMAIL,227,churn227@example.com,90,1,1,1,41,22,0,0
EMAIL,228,churn228@example.com,297,0,1,1,42,48,0,0
EMAIL,229,churn229@example.com,158,0,0,0,31,12,0,0
EMAIL,230,churn230@example.com,117,1,1,1,34,3,0,0
EMAIL,231,churn231@example.com,80,0,1,1,38,75,0,0
EMAIL,232,churn232@example.com,47,0,1,1,19,56,0,0
EMAIL,233,churn233@example.com,31,0,0,1,2,78,0,0
EMAIL,234,churn234@example.com,121,1,1,0,16,4,0,0
EMAIL,235,churn235@example.com,232,1,1,0,28,68,1,0
EMAIL,236,churn236@example.com,116,1,1,0,66,56,0,0
EMAIL,237,churn237@example.com,242,1,0,0,4,43,0,0
EMAIL,238,churn238@example.com,154,1,0,1,35,91,0,0
EMAIL,239,churn239@example.com,110,1,0,0,85,81,0,0
EMAIL,240,churn240@example.com,86,1,1,0,45,22,0,0
EMAIL,241,churn241@example.com,249,1,1,1,3,5,0,1
EMAIL,242,churn242@example.com,68,1,0,1,81,59,0,0
EMAIL,243,churn243@example.com,108,1,1,0,90,83,0,0
EMAIL,244,churn244@example.com,53,0,0,0,60,80,0,0
EMAIL,245,churn245@example.com,81,0,1,1,2,41,0,0
EMAIL,246,churn246@example.com,254,0,0,1,53,69,0,0
EMAIL,247,churn247@example.com,212,1,1,1,66,69,0,0
EMAIL,248,churn248@example.com,103,1,1,1,11,71,0,0
EMAIL,249,churn249@example.com,108,0,0,1,4,91,0,0
EMAIL,250,churn250@example.com,118,1,1,0,8,22,0,0
EMAIL,251,churn251@example.com,53,1,1,0,81,76,0,0
EMAIL,252,churn252@example.com,249,1,1,0,97,22,1,0
EMAIL,253,churn253@example.com,184,0,0,1,80,47,0,0
EMAIL,254,churn254@example.com,102,0,0,0,13,30,0,0
EMAIL,255,churn255@example.com,54,0,1,1,80,18,0,0
EMAIL,256,churn256@example.com,57,0,1,1,25,89,1,0
EMAIL,257,churn257@example.com,230,1,1,1,75,11,0,0
EMAIL,258,churn258@example.com,231,1,1,0,50,25,0,0
EMAIL,259,churn259@example.com,73,0,1,1,61,90,0,0
EMAIL,260,churn260@example.com,58,0,0,1,48,36,0,0
EMAIL,261,churn261@example.com,82,1,0,1,2,85,0,0
EMAIL,262,churn262@example.com,101,1,0,1,22,8,0,0
EMAIL,263,churn263@example.com,213,1,0,0,69,55,0,0
EMAIL,264,churn264@example.com,48,0,1,1,40,59,0,0
EMAIL,265,churn265@example.com,129,0,0,0,22,36,0,0
EMAIL,266,churn266@example.com,237,1,1,0,35,82,0,0
EMAIL,267,churn267@example.com,65,0,0,1,77,64,0,0
EMAIL,268,churn268@example.com,229,0,1,0,70,86,1,0
EMAIL,269,churn269@example.com,219,1,1,1,24,31,0,0
EMAIL,270,churn270@example.com,239,1,0,0,24,22,0,0
EMAIL,271,churn271@example.com,285,1,1,0,95,53,0,0
EMAIL,272,churn272@example.com,169,0,1,1,66,8,0,0
EMAIL,273,churn273@example.com,235,1,1,0,4,12,0,1
EMAIL,274,churn274@example.com,297,1,0,1,73,97,0,0
EMAIL,275,churn275@example.com,228,1,1,0,3,4,0,1
EMAIL,276,churn276@example.com,162,0,0,0,54,16,0,0
EMAIL,277,churn277@example.com,206,1,1,0,17,34,0,0
EMAIL,278,churn278@example.com,93,1,0,0,65,49,0,0
EMAIL,279,churn279@example.com,36,0,0,1,46,83,0,0
EMAIL,280,churn280@example.com,53,1,0,1,28,45,0,0
EMAIL,281,churn281@example.com,82,1,1,0,71,31,0,0
EMAIL,282,churn282@example.com,207,0,1,1,83,37,0,0
EMAIL,283,churn283@example.com,233,1,0,1,11,60,0,0
EMAIL,284,churn284@example.com,65,0,0,1,23,82,0,0
EMAIL,285,churn285@example.com,166,0,0,0,92,3,0,0
EMAIL,286,churn286@example.com,263,1,1,0,21,45,0,0
EMAIL,287,churn287@example.com,192,1,1,0,85,26,1,0
EMAIL,288,churn288@example.com,299,1,1,1,83,20,0,0
EMAIL,289,churn289@example.com,73,0,0,1,100,13,0,0
EMAIL,290,churn290@example.com,139,0,1,0,57,73,1,0
EMAIL,291,churn291@example.com,37,1,0,0,78,12,0,0
EMAIL,292,churn292@example.com,207,0,0,1,4,75,0,0
EMAIL,293,churn293@example.com,44,0,1,0,82,41,0,0
EMAIL,294,churn294@example.com,298,1,0,1,45,64,0,0
EMAIL,295,churn295@example.com,276,0,0,1,70,68,1,0
EMAIL,296,churn296@example.com,35,1,0,1,84,13,0,0
EMAIL,297,churn297@example.com,209,0,0,1,43,5,1,0
EMAIL,298,churn298@example.com,183,0,0,0,13,25,1,0
EMAIL,299,churn299@example.com,61,0,1,0,31,57,0,0
EMAIL,300,churn300@example.com,173,1,0,1,9,29,0,0
EMAIL,301,churn301@example.com,94,0,0,0,22,83,0,0
EMAIL,302,churn302@example.com,194,1,1,0,28,1,0,1
EMAIL,303,churn303@example.com,257,0,1,0,43,54,0,0
EMAIL,304,churn304@example.com,205,0,0,0,90,98,1,0
EMAIL,305,churn305@example.com,130,1,0,0,45,94,0,0
EMAIL,306,churn306@example.com,191,0,0,0,10,64,0,0
EMAIL,307,churn307@example.com,186,1,1,0,35,94,0,0
EMAIL,308,churn308@example.com,137,0,1,0,46,65,0,0
EMAIL,309,churn309@example.com,120,0,0,0,44,41,0,0
EMAIL,310,churn310@example.com,298,1,0,1,27,22,0,0
EMAIL,311,churn311@example.com,60,1,0,0,2,93,0,0
EMAIL,312,churn312@example.com,247,1,0,1,81,94,0,0
EMAIL,313,churn313@example.com,128,1,0,0,49,50,0,0
EMAIL,314,churn314@example.com,212,1,1,0,98,17,1,0
EMAIL,315,churn315@example.com,54,1,1,1,39,42,0,0
EMAIL,316,churn316@example.com,247,0,0,0,24,14,0,0
EMAIL,317,churn317@example.com,174,1,1,0,38,31,0,0
EMAIL,318,churn318@example.com,165,0,1,0,76,18,1,0
EMAIL,319,churn319@example.com,199,0,1,0,50,28,0,0
EMAIL,320,churn320@example.com,100,0,0,1,45,6,0,0
EMAIL,321,churn321@example.com,86,0,1,1,69,28,1,0
EMAIL,322,churn322@example.com,269,0,0,0,41,5,0,0
EMAIL,323,churn323@example.com,194,0,1,1,65,55,0,0
EMAIL,324,churn324@example.com,229,1,1,1,78,20,0,0
EMAIL,325,churn325@example.com,38,0,0,1,30,81,0,0
EMAIL,326,churn326@example.com,202,1,1,0,35,57,0,0
EMAIL,327,churn327@example.com,49,1,0,1,20,22,0,0
EMAIL,328,churn328@example.com,221,0,0,1,23,28,0,0
EMAIL,329,churn329@example.com,162,0,0,0,82,26,0,0
EMAIL,330,churn330@example.com,117,0,0,1,4,70,0,0
EMAIL,331,churn331@example.com,201,1,0,0,84,13,0,0
EMAIL,332,churn332@example.com,71,0,0,0,6,83,1,0
EMAIL,333,churn333@example.com,69,1,1,0,97,57,0,0
EMAIL,334,churn334@example.com,251,1,1,0,84,38,1,0
EMAIL,335,churn335@example.com,74,1,1,1,100,40,0,0
EMAIL,336,churn336@example.com,186,1,0,0,10,83,0,0
EMAIL,337,churn337@example.com,208,1,1,0,84,89,1,0
EMAIL,338,churn338@example.com,31,0,1,0,95,39,0,0
EMAIL,339,churn339@example.com,198,0,1,1,14,65,0,0
EMAIL,340,churn340@example.com,216,1,0,0,35,88,0,0
EMAIL,341,churn341@example.com,254,0,1,1,3,35,0,0
EMAIL,342,churn342@example.com,48,0,0,1,54,89,0,0
EMAIL,343,churn343@example.com,58,1,0,0,75,29,0,0
EMAIL,344,churn344@example.com,274,1,0,0,58,37,0,0
EMAIL,345,churn345@example.com,171,0,1,0,15,2,0,0
EMAIL,346,churn346@example.com,129,0,0,1,85,30,0,0
EMAIL,347,churn347@example.com,216,1,0,1,79,67,0,0
EMAIL,348,churn348@example.com,251,0,1,1,46,100,1,0
EMAIL,349,churn349@example.com,90,1,1,1,10,25,0,0
EMAIL,350,churn350@example.com,110,0,0,1,17,72,0,0
EMAIL,351,churn351@example.com,73,0,0,1,12,46,1,0
EMAIL,352,churn352@example.com,262,0,0,0,54,19,0,0
EMAIL,353,churn353@example.com,30,1,1,1,83,82,0,0
EMAIL,354,churn354@example.com,103,0,0,1,67,82,0,0
EMAIL,355,churn355@example.com,83,0,1,0,97,6,0,0
EMAIL,356,churn356@example.com,207,1,1,1,69,44,0,0
EMAIL,357,churn357@example.com,278,1,0,1,49,87,0,0
EMAIL,358,churn358@example.com,119,0,1,1,72,39,0,0
EMAIL,359,churn359@example.com,208,0,0,1,27,96,0,0
EMAIL,360,churn360@example.com,45,0,1,0,20,89,0,0
EMAIL,361,churn361@example.com,135,0,0,1,80,6,0,0
EMAIL,362,churn362@example.com,66,0,1,0,20,31,1,0
EMAIL,363,churn363@example.com,221,0,0,1,61,88,0,0
EMAIL,364,churn364@example.com,58,1,1,0,100,31,0,0
EMAIL,365,churn365@example.com,235,1,0,1,90,64,0,0
EMAIL,366,churn366@example.com,166,0,1,1,74,25,0,0
EMAIL,367,churn367@example.com,279,1,1,0,76,91,0,0
EMAIL,368,churn368@example.com,144,1,1,1,38,76,1,0
EMAIL,369,churn369@example.com,140,1,1,1,51,45,1,0
EMAIL,370,churn370@example.com,249,1,0,0,7,8,0,0
EMAIL,371,churn371@example.com,251,1,1,0,35,76,0,0
EMAIL,372,churn372@example.com,261,0,0,1,13,53,0,0
EMAIL,373,churn373@example.com,100,0,1,1,55,80,0,0
EMAIL,374,churn374@example.com,169,0,1,0,31,67,1,0
EMAIL,375,churn375@example.com,45,1,0,1,35,59,0,0
EMAIL,376,churn376@example.com,117,1,1,0,100,63,0,0
EMAIL,377,churn377@example.com,124,0,0,0,47,59,0,0
EMAIL,378,churn378@example.com,296,0,0,0,90,51,0,0
EMAIL,379,churn379@example.com,292,1,1,1,76,24,0,0
EMAIL,380,churn380@example.com,297,1,1,0,51,25,0,0
EMAIL,381,churn381@example.com,75,0,0,0,94,48,0,0
EMAIL,382,churn382@example.com,63,1,1,1,19,32,0,0
EMAIL,383,churn383@example.com,84,0,1,0,92,51,0,0
EMAIL,384,churn384@example.com,121,1,0,1,5,15,0,0
EMAIL,385,churn385@example.com,185,0,0,0,46,89,0,0
EMAIL,386,churn386@example.com,62,0,1,0,68,99,1,0
EMAIL,387,churn387@example.com,213,1,1,1,27,55,0,0
EMAIL,388,churn388@example.com,226,1,0,0,68,66,0,0
EMAIL,389,churn389@example.com,44,0,1,0,79,37,0,0
EMAIL,390,churn390@example.com,137,1,1,0,94,48,0,0
EMAIL,391,churn391@example.com,37,1,0,1,10,58,0,0
EMAIL,392,churn392@example.com,225,0,1,0,76,76,0,0
EMAIL,393,churn393@example.com,44,0,1,1,29,21,0,0
EMAIL,394,churn394@example.com,153,0,0,0,57,3,0,0
EMAIL,395,churn395@example.com,168,0,0,0,26,2,0,0
EMAIL,396,churn396@example.com,184,1,0,0,15,73,0,0
EMAIL,397,churn397@example.com,279,1,1,0,7,67,1,0
EMAIL,398,churn398@example.com,146,1,1,0,42,2,1,0
EMAIL,399,churn399@example.com,49,1,1,0,65,23,0,0
EMAIL,400,churn400@example.com,256,0,0,0,48,91,0,0
EMAIL,401,churn401@example.com,145,1,0,1,89,68,0,0
EMAIL,402,churn402@example.com,95,1,1,0,80,56,0,0
EMAIL,403,churn403@example.com,271,0,1,0,86,75,0,0
EMAIL,404,churn404@example.com,35,1,1,1,34,91,0,0
EMAIL,405,churn405@example.com,80,0,1,1,38,71,0,0
EMAIL,406,churn406@example.com,193,0,1,0,33,43,0,0
EMAIL,407,churn407@example.com,207,0,1,0,36,88,0,0
EMAIL,408,churn408@example.com,296,0,1,0,5,47,0,0
EMAIL,409,churn409@example.com,164,1,1,0,24,99,1,0
EMAIL,410,churn410@example.com,263,1,0,0,35,92,0,0
EMAIL,411,churn411@example.com,66,1,1,1,84,21,0,0
EMAIL,412,churn412@example.com,104,1,0,0,13,84,0,0
EMAIL,413,churn413@example.com,71,1,0,1,46,8,0,0
EMAIL,414,churn414@example.com,273,1,1,0,60,98,0,0
EMAIL,415,churn415@example.com,100,0,0,0,81,57,0,0
EMAIL,416,churn416@example.com,290,0,0,1,71,87,0,0
EMAIL,417,churn417@example.com,259,0,1,1,49,43,0,0
EMAIL,418,churn418@example.com,145,0,0,0,81,17,0,0
EMAIL,419,churn419@example.com,257,1,1,0,5,14,0,0
EMAIL,420,churn420@example.com,209,0,1,1,7,43,0,0
EMAIL,421,churn421@example.com,113,0,1,0,93,97,0,0
EMAIL,422,churn422@example.com,151,0,1,0,89,71,1,0
EMAIL,423,churn423@example.com,299,0,0,0,45,31,0,0
EMAIL,424,churn424@example.com,62,1,1,1,29,12,0,0
EMAIL,425,churn425@example.com,275,0,1,0,68,6,0,0
EMAIL,426,churn426@example.com,161,0,1,0,84,85,1,0
EMAIL,427,churn427@example.com,277,0,0,1,57,98,0,0
EMAIL,428,churn428@example.com,57,0,0,0,9,88,0,0
EMAIL,429,churn429@example.com,149,1,0,1,77,44,0,0
EMAIL,430,churn430@example.com,197,0,0,1,96,1,0,0
